index,senate_budget_medicaid_id,senate_budget_hospital,safety_county,gannett,safety_hosptial_type,hospital_address_full_fha,safety_ownership,safety_total_ownership,gov_worksheet_base_add_on_in_patient,gov_worksheet_base_add_on_out_patient,senate_budget_in_patient_add_on,senate_budget_outpatient_add_on,senate_in_patient_cuts,senate_out_patient_cuts,senate_savings,senate_cut_percentage,safety_total_XIX_utilization_per_hospital_percent_2015,house_tier,house_add_on_percentage_keep,house_new_in_patient_add_on,house_new_out_patient_add_on,house_in_patient_cuts,house_out_patient_cuts,house_add_on_savings,gov_charitable_purpose_percent,gov_savings,lat,lng
16,100421,JACKSON MEMORIAL HOSPITAL,Miami-Dade,No,Public/Government,"1611 N.W. 12th Ave. Miami, FL 33136-1005",Jackson Health System,Jackson Health System," 93,698,430 "," 11,557,755 "," 63,147,441 "," 7,789,273 "," 30,550,989 "," 3,768,482 "," 34,319,471 ", 33 , 27 , 1 , 73 ," 68,486,471 "," 8,447,845 "," 25,211,959 "," 3,109,910 "," 28,321,869 ", 199 , -   ,25.7917989,-80.212638
19,100030,UF HEALTH SHANDS,Alachua,No,Not-For-Profit/Teaching,"1600 S.W. Archer Rd. Gainesville, FL 32610-3003",University of Florida Healthcare,University of Florida Healthcare," 40,456,606 "," 11,224,101 "," 27,265,463 "," 7,564,409 "," 13,191,143 "," 3,659,692 "," 16,850,835 ", 33 , 27 , 2 , 62 ," 25,083,096 "," 6,958,943 "," 15,373,510 "," 4,265,158 "," 19,638,669 ", 65 , -   ,29.6399529,-82.3426742
76,101290,FLORIDA HOSPITAL,Orange,No,Not-For-Profit,"601 E. Rollins St. Orlando, FL 32803-1248",Adventist Health System,Adventist Health System," 42,656,169 "," 7,282,666 "," 28,747,845 "," 4,908,105 "," 13,908,324 "," 2,374,561 "," 16,282,885 ", 33 , 15 , 4 , -   , -   , -   ," 42,656,169 "," 7,282,666 "," 49,938,835 ", 51 ," 49,938,836 ",28.5744699,-81.3695415
1,100609,NICKLAUS CHILDRENS,Miami-Dade,No,Not-For-Profit,"3100 S.W. 62nd Ave. Miami, FL 33155-3009",null,null," 36,495,393 "," 12,239,475 "," 24,595,830 "," 8,248,714 "," 11,899,563 "," 3,990,761 "," 15,890,324 ", 33 , 69 , 1 , 73 ," 26,675,374 "," 8,946,131 "," 9,820,019 "," 3,293,344 "," 13,113,363 ", 708 , -   ,25.7414133,-80.294454
26,100994,TAMPA GENERAL HOSPITAL,Hillsborough,No,Not-For-Profit/Teaching,"1 Tampa General Circle Tampa, FL 33606-3571",null,null," 36,715,664 "," 2,003,690 "," 24,744,280 "," 1,350,374 "," 11,971,384 "," 653,316 "," 12,624,700 ", 33 , 25 , 2 , 62 ," 22,763,712 "," 1,242,288 "," 13,951,952 "," 761,402 "," 14,713,355 ", 108 , -   ,27.9381581,-82.4590989
12,101338,ORLANDO HEALTH,Orange,No,Not-For-Profit/Teaching,"52 W. Underwood St. Orlando, FL 32806-2008",Orlando Health,Orlando Health," 33,940,452 "," 4,015,302 "," 22,873,944 "," 2,706,087 "," 11,066,508 "," 1,309,215 "," 12,375,723 ", 33 , 29 , 2 , 62 ," 21,043,080 "," 2,489,487 "," 12,897,372 "," 1,525,815 "," 14,423,187 ", 43 ," 37,955,754 ",28.5265247,-81.3776052
0,101516,ALL CHILDRENS HOSPITAL,Pinellas,No,Not-For-Profit,"501 6th Ave., S. St. Petersburg, FL 33701-4634",All Childrens Health System,All Childrens Health System," 29,748,824 "," 7,981,108 "," 20,049,024 "," 5,378,815 "," 9,699,800 "," 2,602,293 "," 12,302,093 ", 33 , 70 , 1 , 73 ," 21,744,142 "," 5,833,587 "," 8,004,682 "," 2,147,521 "," 10,152,203 ", (635)," 37,729,932 ",27.7644486,-82.6405552
7,100129,BROWARD HEALTH - BROWARD GENERAL MEDICAL CENTER,Broward Health,No,Public/Government,"1600 S. Andrews Ave. Ft. Lauderdale, FL 33316-2510",Broward Health,Broward Health," 29,539,563 "," 5,736,577 "," 19,907,994 "," 3,866,128 "," 9,631,569 "," 1,870,449 "," 11,502,018 ", 33 , 36 , 2 , 62 ," 18,314,529 "," 3,556,678 "," 11,225,034 "," 2,179,899 "," 13,404,933 ", 97 , -   ,26.1022242,-80.14078
27,100200,MEMORIAL REGIONAL HOSPITAL,Broward - Memorial Health,No,Public/Government,"3501 Johnson St. Hollywood, FL 33021-5421",Memorial Healthcare System,Memorial Healthcare System," 23,816,996 "," 10,672,746 "," 16,051,308 "," 7,192,827 "," 7,765,688 "," 3,479,919 "," 11,245,607 ", 33 , 25 , 2 , 62 ," 14,766,538 "," 6,617,103 "," 9,050,458 "," 4,055,643 "," 13,106,102 "," 3,588 ", -   ,26.0189172,-80.1797209
8,100676,UF HEALTH JACKSONVILLE,Duval,No,Not-For-Profit/Teaching,"655 W. 8th St. Jacksonville, FL 32209-6511",University of Florida Healthcare,University of Florida Healthcare," 23,448,975 "," 9,557,869 "," 15,803,282 "," 6,441,463 "," 7,645,693 "," 3,116,406 "," 10,762,099 ", 33 , 34 , 2 , 62 ," 14,538,365 "," 5,925,879 "," 8,910,611 "," 3,631,990 "," 12,542,601 ", 387 , -   ,30.3488168,-81.6645858
